ncand,n_far,is_top1,beats_far,pct_far,margin_far,displacement,d_assigned,L,locus_len,chance,pair
16,11,True,True,0.0,0.14568167041356495,0.0,0.04161666467046857,248,2101,0.08333333333333333,hg38_vs_mm39
11,6,True,True,0.0,0.10592827131038293,0.0,0.017698842470509464,248,1445,0.14285714285714285,hg38_vs_mm39
25,20,False,True,0.0,0.0008176158129102468,11.0,0.05568345663441107,288,3699,0.047619047619047616,hg38_vs_mm39
21,16,False,True,0.0,0.043696044475322396,120.0,0.034786119898397666,288,3050,0.058823529411764705,hg38_vs_mm39
50,45,False,False,0.044444444444444446,-0.006255014479467524,4824.0,0.03850928386054039,248,6261,0.021739130434782608,hg38_vs_mm39
18,13,True,True,0.0,0.1014032869713126,0.0,0.014131349280489466,368,3319,0.07142857142857142,hg38_vs_mm39
11,6,False,True,0.0,0.15258914611849367,160.0,0.026665134742386,368,2063,0.14285714285714285,hg38_vs_mm39
12,7,False,True,0.0,0.038950464453537295,40.0,0.027068600513405743,288,1816,0.125,hg38_vs_mm39
27,22,True,True,0.0,0.018273061815322383,0.0,0.010371577497700981,368,5103,0.043478260869565216,hg38_vs_mm39
6,1,True,True,0.0,0.1659694396175327,0.0,0.03698541068079251,568,1953,0.5,hg38_vs_mm39
18,13,True,True,0.0,0.05697925412554348,0.0,0.019975416782586637,448,4237,0.07142857142857142,hg38_vs_mm39
84,79,False,True,0.0,0.009343265008120067,40.0,0.026552220957455925,168,7080,0.0125,hg38_vs_mm39
30,25,False,False,0.12,-0.00924904048717172,344.0,0.04446337808537781,288,4322,0.038461538461538464,hg38_vs_mm39
25,21,False,True,0.0,0.008588636672982639,32.0,0.04410312481892906,768,9650,0.045454545454545456,hg38_vs_mm39
7,2,False,True,0.0,0.26587056666948794,152.0,0.04961517967356465,328,1214,0.3333333333333333,hg38_vs_mm39
11,6,True,True,0.0,0.03770039039919997,0.0,0.02151028655904417,248,1420,0.14285714285714285,hg38_vs_mm39
16,11,True,True,0.0,0.09393081673942763,0.0,0.01786214551463338,248,2052,0.08333333333333333,hg38_vs_mm39
57,52,True,True,0.0,0.004039202445767668,0.0,0.03113387321189041,408,11795,0.018867924528301886,hg38_vs_mm39
10,5,False,True,0.0,0.07441704544954203,104.0,0.010520825407728215,448,2408,0.16666666666666666,hg38_vs_mm39
8,4,False,True,0.0,0.06869521964894806,124.0,0.0457147698807905,408,1718,0.2,hg38_vs_mm39
17,12,False,True,0.0,0.09686134513027064,24.0,0.031811294549217876,208,1849,0.07692307692307693,hg38_vs_mm39
11,6,True,True,0.0,0.051124181621547235,0.0,0.018322337509213183,248,1389,0.14285714285714285,hg38_vs_mm39
25,20,True,True,0.0,0.006247399391963872,0.0,0.028703695925882226,408,5173,0.047619047619047616,hg38_vs_mm39
9,4,True,True,0.0,0.23465180664030288,0.0,0.026862433970410424,248,1165,0.2,hg38_vs_mm39
6,1,False,True,0.0,0.05071420621790866,32.0,0.01707299344956685,408,1396,0.5,hg38_vs_mm39
86,81,False,False,0.4074074074074074,-0.031440469732603595,8400.0,0.08583897081480665,368,16001,0.012195121951219513,hg38_vs_mm39
26,21,False,True,0.0,0.05533697822937109,176.0,0.0603400330722747,248,3255,0.045454545454545456,hg38_vs_mm39
14,9,False,True,0.0,0.056953898948947854,184.0,0.010484729516550662,448,3262,0.1,hg38_vs_mm39
15,10,True,True,0.0,0.04085488605519651,0.0,0.032359942386614854,208,1576,0.09090909090909091,hg38_vs_mm39
31,26,False,False,0.3076923076923077,-0.013038876690388584,831.0,0.09235266686734855,248,3943,0.037037037037037035,hg38_vs_mm39
48,43,False,True,0.0,0.0016239500743888968,16.0,0.06407762554424416,128,3092,0.022727272727272728,hg38_vs_mm39
6,2,False,False,0.5,-0.0152068199950781,392.0,0.08136401235298792,448,1368,0.3333333333333333,hg38_vs_mm39
5,2,False,True,0.0,0.0012816681298930682,288.0,0.06702475781844092,768,2273,0.3333333333333333,hg38_vs_mm39
17,12,True,True,0.0,0.025132116136421207,0.0,0.024277396406890975,288,2450,0.07692307692307693,hg38_vs_mm39
7,2,False,True,0.0,0.12528317655572835,35.0,0.03553824952616451,768,2949,0.3333333333333333,hg38_vs_mm39
13,8,False,True,0.0,0.040761862064790017,96.0,0.060879937410634646,248,1616,0.1111111111111111,hg38_vs_mm39
5,1,False,True,0.0,0.33069024388171997,32.0,0.07045383289230353,368,1038,0.5,hg38_vs_mm39
12,7,False,False,0.7142857142857143,-0.04652884590682839,234.0,0.0945993605066041,408,2510,0.125,hg38_vs_mm39
7,2,True,True,0.0,0.0049844287991180555,0.0,0.056694512845839186,928,3319,0.3333333333333333,hg38_vs_mm39
22,17,False,True,0.0,0.013999879918303051,244.0,0.06808114443997632,288,3276,0.05555555555555555,hg38_vs_mm39
70,65,False,False,0.12307692307692308,-0.03731074463808381,800.0,0.08631758238850407,208,7344,0.015151515151515152,hg38_vs_mm39
