ncand,n_far,is_top1,beats_far,pct_far,margin_far,displacement,d_assigned,L,locus_len,chance,pair
9,5,False,False,0.2,-0.02668084427092001,248.0,0.056731464667519715,328,1488,0.16666666666666666,hg38_vs_bosTau9
14,9,True,True,0.0,0.08491560923206304,0.0,0.019594750753174163,168,1229,0.1,hg38_vs_bosTau9
51,46,False,True,0.0,0.02243797879200779,139.0,0.02317043097752526,368,9565,0.02127659574468085,hg38_vs_bosTau9
7,2,False,True,0.0,0.03444534846413775,616.0,0.05477972268030753,1328,4780,0.3333333333333333,hg38_vs_bosTau9
4,1,True,True,0.0,0.0733440376258156,0.0,0.07782515736278656,648,1443,0.5,hg38_vs_bosTau9
18,13,False,True,0.0,0.07415222539188768,8.0,0.09034010734583708,128,1179,0.07142857142857142,hg38_vs_bosTau9
22,17,False,True,0.0,0.03747624143401329,60.0,0.023759882834936543,248,2761,0.05555555555555555,hg38_vs_bosTau9
9,4,False,True,0.0,0.0795807441048611,60.0,0.03147992000053403,408,2025,0.2,hg38_vs_bosTau9
16,11,False,False,0.18181818181818182,-0.0067678841466476646,120.0,0.037926142353772806,248,2030,0.08333333333333333,hg38_vs_bosTau9
96,91,False,True,0.0,0.004452052403393976,128.0,0.030559972302613418,288,13871,0.010869565217391304,hg38_vs_bosTau9
37,34,False,False,0.5588235294117647,-0.048523559646955414,2139.0,0.07607881515872544,328,6155,0.02857142857142857,hg38_vs_bosTau9
20,15,True,True,0.0,0.06896421314799814,0.0,0.0118686009350219,568,5695,0.0625,hg38_vs_bosTau9
23,18,False,False,0.2222222222222222,-0.0368891146445664,42.0,0.17172350197105915,128,1530,0.05263157894736842,hg38_vs_bosTau9
8,3,False,True,0.0,0.06194924103028562,200.0,0.04746732114312684,608,2564,0.25,hg38_vs_bosTau9
12,7,False,True,0.0,0.05416679960595797,295.0,0.003437678451446918,1168,7215,0.125,hg38_vs_bosTau9
9,4,False,True,0.0,0.037205813793361193,48.0,0.019700487425710206,368,1773,0.2,hg38_vs_bosTau9
20,15,False,True,0.0,0.02037855554041311,81.0,0.07163645159867374,288,2887,0.0625,hg38_vs_bosTau9
12,7,False,True,0.0,0.07088734187935433,16.0,0.046559284691513804,248,1555,0.125,hg38_vs_bosTau9
14,9,True,True,0.0,0.0447913071678135,0.0,0.022952026205809207,208,1538,0.1,hg38_vs_bosTau9
17,12,False,False,0.08333333333333333,-0.011412600768539255,236.0,0.036910197427130885,248,2208,0.07692307692307693,hg38_vs_bosTau9
29,24,False,True,0.0,0.019006722525415277,47.0,0.035649042747682956,328,4787,0.04,hg38_vs_bosTau9
16,11,False,True,0.0,0.03856553293084136,40.0,0.015394684254162178,288,2360,0.08333333333333333,hg38_vs_bosTau9
18,13,False,True,0.0,0.007605337421174738,180.0,0.043415279251948095,728,6705,0.07142857142857142,hg38_vs_bosTau9
21,16,False,False,0.125,-0.009992016780288396,397.0,0.03751363779792908,288,3117,0.058823529411764705,hg38_vs_bosTau9
13,8,True,True,0.0,0.11418248688684693,0.0,0.016398529054304504,208,1418,0.1111111111111111,hg38_vs_bosTau9
44,39,False,False,0.05128205128205128,-0.008973820414212123,504.0,0.023924769910554408,208,4577,0.025,hg38_vs_bosTau9
19,15,False,False,0.5333333333333333,-0.00849668009484339,146.0,0.05759361366457725,608,6006,0.0625,hg38_vs_bosTau9
9,4,True,True,0.0,0.049574475954613104,0.0,0.032971287334509616,248,1235,0.2,hg38_vs_bosTau9
20,15,False,False,0.2,-0.005235626154661929,16.0,0.08775693708624882,128,1327,0.0625,hg38_vs_bosTau9
13,8,True,True,0.0,0.05563911903665348,0.0,0.0222060270185653,208,1455,0.1111111111111111,hg38_vs_bosTau9
10,5,False,True,0.0,0.03895419859196911,142.0,0.02806911243197707,368,1974,0.16666666666666666,hg38_vs_bosTau9
15,10,False,True,0.0,0.10675784570280554,11.0,0.08599937692516448,288,2261,0.09090909090909091,hg38_vs_bosTau9
6,2,False,False,0.5,-0.010285015560026409,364.0,0.07026817901886302,768,2540,0.3333333333333333,hg38_vs_bosTau9
7,2,True,True,0.0,0.10186650479532115,0.0,0.022703482720041898,488,1913,0.3333333333333333,hg38_vs_bosTau9
8,3,False,True,0.0,0.09881361096729147,96.0,0.0541712761496529,288,1275,0.25,hg38_vs_bosTau9
21,16,True,True,0.0,0.0021964126619562485,0.0,0.043831351316026286,408,4358,0.058823529411764705,hg38_vs_bosTau9
8,3,True,True,0.0,0.11551396030278699,0.0,0.016092266875965437,568,2343,0.25,hg38_vs_bosTau9
24,19,False,False,0.05263157894736842,-0.002568131977459115,151.0,0.06136470440747954,248,3001,0.05,hg38_vs_bosTau9
15,10,False,True,0.0,0.05956140107745937,52.0,0.024798524957421797,248,1966,0.09090909090909091,hg38_vs_bosTau9
7,2,False,False,0.5,-0.0738571353501439,237.0,0.1221717696204805,448,1667,0.3333333333333333,hg38_vs_bosTau9
6,2,False,True,0.0,0.02295334223424857,253.0,0.031130936880614763,568,1833,0.3333333333333333,hg38_vs_bosTau9
19,14,False,False,0.14285714285714285,-0.037262062357793294,399.0,0.06027327366143509,288,2809,0.06666666666666667,hg38_vs_bosTau9
15,10,False,True,0.0,0.03204936054675042,96.0,0.0664135822923677,168,1271,0.09090909090909091,hg38_vs_bosTau9
59,54,False,False,0.07407407407407407,-0.004620935084171628,804.0,0.023973962588992866,488,14406,0.01818181818181818,hg38_vs_bosTau9
45,40,False,True,0.0,0.06054326644751891,64.0,0.04550273639320751,168,3832,0.024390243902439025,hg38_vs_bosTau9
8,3,False,True,0.0,0.14599441061907484,562.0,0.03522577350121057,768,3314,0.25,hg38_vs_bosTau9
43,38,False,False,0.07894736842105263,-0.005423762577383789,4480.0,0.0326328622662727,488,10528,0.02564102564102564,hg38_vs_bosTau9
50,45,False,False,0.4,-0.018413329118645655,344.0,0.06179740207261693,368,9289,0.021739130434782608,hg38_vs_bosTau9
13,8,False,False,0.625,-0.052009162328125726,379.0,0.06715078481472077,248,1613,0.1111111111111111,hg38_vs_bosTau9
5,1,False,True,0.0,0.08893535051197914,174.0,0.030070689795131066,528,1430,0.5,hg38_vs_bosTau9
8,3,False,True,0.0,0.14304316917388862,236.0,0.052535414829082715,488,2045,0.25,hg38_vs_bosTau9
14,9,False,True,0.0,0.12737485999941006,98.0,0.04113198100180941,568,4234,0.1,hg38_vs_bosTau9
17,12,False,True,0.0,0.03555066091194806,359.0,0.019179840465736554,768,6841,0.07692307692307693,hg38_vs_bosTau9
11,6,False,False,0.5,-0.03158149188583088,316.0,0.06788504990289912,248,1424,0.14285714285714285,hg38_vs_bosTau9
11,6,True,True,0.0,0.07703233970069137,0.0,0.013678865531961409,248,1476,0.14285714285714285,hg38_vs_bosTau9
6,1,True,True,0.0,0.1305930018085143,0.0,0.023650600415561787,408,1321,0.5,hg38_vs_bosTau9
35,30,False,True,0.0,0.024896176854009345,303.0,0.026994500187620642,568,10037,0.03225806451612903,hg38_vs_bosTau9
8,4,False,True,0.0,0.09107445736643921,24.0,0.02111416190692827,368,1620,0.2,hg38_vs_bosTau9
16,11,False,False,0.18181818181818182,-0.012251294929119794,1376.0,0.04344997920688743,288,2318,0.08333333333333333,hg38_vs_bosTau9
10,5,False,True,0.0,0.06685112484699371,6.0,0.0340827423806184,448,2318,0.16666666666666666,hg38_vs_bosTau9
7,2,False,False,0.5,-0.006700326282426131,752.0,0.022313496210818025,1488,5432,0.3333333333333333,hg38_vs_bosTau9
17,12,False,True,0.0,0.07947130813082857,16.0,0.07376199068594293,168,1505,0.07692307692307693,hg38_vs_bosTau9
33,28,False,True,0.0,0.002742420277074331,96.0,0.04335461938362691,248,4189,0.034482758620689655,hg38_vs_bosTau9
32,27,False,False,0.1111111111111111,-0.0035417494475191505,2522.0,0.023584752325527793,568,9138,0.03571428571428571,hg38_vs_bosTau9
54,49,False,True,0.0,0.024139950897572884,55.0,0.029881949405108466,208,5665,0.02,hg38_vs_bosTau9
8,3,True,True,0.0,0.029280840793392927,0.0,0.006819002241261762,568,2523,0.25,hg38_vs_bosTau9
19,14,False,False,0.7142857142857143,-0.04952227076693162,80.0,0.09822632833423445,168,1613,0.06666666666666667,hg38_vs_bosTau9
7,2,True,True,0.0,0.10603487736410121,0.0,0.020342316906764007,408,1610,0.3333333333333333,hg38_vs_bosTau9
